file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.FederationFeignHttpClientProvider,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,class,7,7,0,7,2,1,0,13,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,11,2,6,0,6,0,0,0,1,34,0,0
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponseTest.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponseTest,class,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,interface,11,11,0,11,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,132,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\DefaultHostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.DefaultHostnameVerifierProvider,class,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\TestApplication.java,app.coronawarn.server.common.federation.TestApplication,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,class,14,16,2,14,6,1,0,19,2,0.56666666,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,6,0,0,6,0,0,6,0,0,34,4,0,0,1,0,0,0,7,0,7,1,0,0,0,58,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\WebConfig.java,app.coronawarn.server.common.federation.client.config.WebConfig,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,class,6,8,2,6,5,2,0,5,6,0.75,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,1,1,0,0,0,1,0,1,20,2,0,0,1,0,3,0,2,0,2,1,0,0,0,56,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFeignHttpClientProviderException.java,app.coronawarn.server.common.federation.client.CloudFeignHttpClientProviderException,class,0,2,2,0,1,4,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,innerclass,0,0,0,0,14,1,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,15,9,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\NoopHostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.NoopHostnameVerifierProvider,class,6,7,1,6,2,1,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,3,0,1,1,1,0,0,0,0,34,1,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,class,1,3,2,1,6,1,0,1,1,0.5,0.46666667,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,3,24,4,0,0,0,0,7,0,6,2,3,0,0,0,0,59,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,class,4,6,2,4,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,74,3,0,0,0,0,1,0,3,0,3,0,0,1,0,16,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\HostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,class,0,1,1,0,6,1,0,0,3,0.5,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,27,1,0
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,class,9,10,1,9,5,1,0,20,0,0.5,1.0,1.0,5,1,0,1,0,4,4,0,0,0,2,1,0,2,0,0,2,0,1,29,1,0,0,0,0,6,0,7,0,7,0,0,0,2,72,0,0
