file,class,method,variable,usage
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",hostnameVerifierProvider,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",trustStorePassword,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",keyStorePassword,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",keyStore,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",connectionPoolSize,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"CloudFederationFeignHttpClientProvider/2[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider]",trustStore,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"getSslContext/2[java.io.File,java.lang.String]",trustStorePassword,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"getSslContext/2[java.io.File,java.lang.String]",trustStore,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,createFeignClient/0,keyStorePassword,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,createFeignClient/0,keyStore,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,createFeignClient/0,connectionPoolSize,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"federationHttpClientFactory/3[int,java.io.File,java.lang.String]",hostnameVerifierProvider,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"federationHttpClientFactory/3[int,java.io.File,java.lang.String]",connectionPoolSize,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,FederationGatewayHttpMessageConverter/0,PROTOBUF,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStore/1[java.io.File],trustStore,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getTrustStore/0,trustStore,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStorePassword/1[java.lang.String],trustStorePassword,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setKeyStorePassword/1[java.lang.String],keyStorePassword,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getKeyStorePassword/0,keyStorePassword,1
