file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.FederationFeignHttpClientProvider,createFeignClient/0,false,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testThrowException/0,false,34,6,11,0,11,1,10,13,0,3,0,10,0,0,0,0,0,0,5,1,3,0,0,0,0,1,23,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testCanLoadKeystore/0,false,18,5,12,0,12,1,10,13,0,3,0,10,0,0,0,0,0,0,5,1,3,0,0,0,0,0,25,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponseTest.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponseTest,checkEmptyBatchUploadResponse/0,false,9,2,4,0,4,1,5,6,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"putCallbackRegistration/2[java.lang.String,java.lang.String]",false,35,4,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,21,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"getDiagnosisKeys/2[java.lang.String,java.lang.String]",false,48,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,getDiagnosisKeys/1[java.lang.String],false,42,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"getAuditInformation/2[java.lang.String,java.lang.String]",false,74,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,66,0,0,true
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,getCallbackRegistrations/0,false,29,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"postBatchUpload/3[byte[],java.lang.String,java.lang.String]",false,55,5,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,51,0,0,true
