file,class,method,variable,usage
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testThrowException/0,provider,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testThrowException/0,ssl,6
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testThrowException/0,config,3
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testCanLoadKeystore/0,cut,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testCanLoadKeystore/0,ssl,6
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProviderSmokeTest.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProviderSmokeTest,testCanLoadKeystore/0,config,3
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponseTest.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponseTest,checkEmptyBatchUploadResponse/0,batchUploadResponse,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"putCallbackRegistration/2[java.lang.String,java.lang.String]",id,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"putCallbackRegistration/2[java.lang.String,java.lang.String]",url,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\FederationGatewayClient.java,app.coronawarn.server.common.federation.client.FederationGatewayClient,"getDiagnosisKeys/2[java.lang.String,java.lang.String]",date,0
