file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\webbrowser\WebBrowserActivity.java,com.liskovsoft.smartyoutubetv2.tv.ui.webbrowser.WebBrowserActivity,class,3,5,2,3,1,3,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,class,17,19,2,17,10,2,0,23,4,0.7,0.3,0.6,5,0,4,0,1,0,5,0,0,0,6,1,0,6,0,0,4,0,1,59,1,0,3,0,3,0,4,14,3,13,2,1,0,0,47,1,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\ThumbsDownAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.ThumbsDownAction,class,2,3,1,2,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,1,0,0,0,0,10,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\previewtimebar\StoryboardManager.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.previewtimebar.StoryboardManager,class,15,17,2,15,33,1,0,34,0,0.76428574,0.6666667,1.0,10,0,4,6,0,0,4,0,0,0,14,5,0,14,0,0,8,0,1,123,12,2,12,0,3,3,13,33,10,29,1,1,1,2,83,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\VideoStatsAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.VideoStatsAction,class,2,3,1,2,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,1,0,0,0,0,10,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\mod\clickable\FindAddress.java,com.liskovsoft.smartyoutubetv2.tv.ui.mod.clickable.FindAddress$ZipRange,innerclass,0,0,0,0,6,1,0,2,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,1,16,1,0,2,0,1,0,2,5,0,5,0,0,0,0,15,10,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\launchers\HomeLauncherActivity.java,com.liskovsoft.smartyoutubetv2.tv.launchers.HomeLauncherActivity,class,2,2,0,2,1,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\adapter\DeferredVideoGroupObjectAdapter.java,com.liskovsoft.smartyoutubetv2.tv.adapter.DeferredVideoGroupObjectAdapter,class,3,3,0,3,3,3,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,14,1,0,0,0,0,0,1,2,1,2,1,0,0,0,19,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\dialogs\other\CommentsPreference.java,com.liskovsoft.smartyoutubetv2.tv.ui.dialogs.other.CommentsPreference,class,4,6,2,4,6,2,0,0,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\common\UriBackgroundManager.java,com.liskovsoft.smartyoutubetv2.tv.ui.common.UriBackgroundManager,class,13,27,14,13,23,1,0,33,11,0.8,0.4090909,0.6818182,14,0,12,2,0,0,12,0,0,0,10,2,0,10,0,0,4,0,1,106,3,0,9,0,0,0,5,17,0,15,1,1,1,0,64,1,0
