file,class,method,variable,usage
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\webbrowser\WebBrowserActivity.java,com.liskovsoft.smartyoutubetv2.tv.ui.webbrowser.WebBrowserActivity,onCreate/1[com.liskovsoft.smartyoutubetv2.tv.ui.webbrowser.Bundle],savedInstanceState,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onUnbindViewHolder/1[Presenter.ViewHolder],viewHolder,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onCreateViewHolder/1[com.liskovsoft.smartyoutubetv2.tv.presenter.ViewGroup],viewGroup,3
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onCreateViewHolder/1[com.liskovsoft.smartyoutubetv2.tv.presenter.ViewGroup],view,2
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onCreateViewHolder/1[com.liskovsoft.smartyoutubetv2.tv.presenter.ViewGroup],inflater,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",viewHolder,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",item,3
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",icon,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",headerItem,3
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",rootView,5
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",iconView,3
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",label,2
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onSelectLevelChanged/1[RowHeaderPresenter.ViewHolder],holder,2
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"IconHeaderItemPresenter/2[int,java.lang.String]",iconUrl,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"IconHeaderItemPresenter/2[int,java.lang.String]",resId,1
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\ThumbsDownAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.ThumbsDownAction,ThumbsDownAction/1[com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.Context],context,3
