file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,class,2,8,6,2,4,1,0,3,1,1.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,21,4,0,0,2,0,0,0,3,0,3,1,0,0,0,14,1,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,class,13,13,0,13,8,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,27,7,1,0,0,0,3,0,2,0,2,2,0,0,0,39,1,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,class,7,8,1,7,2,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,4,19,0,0,0,1,0,1,1,5,0,6,1,0,0,0,22,1,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,class,3,8,5,3,23,1,0,5,186,0.9,0.057142857,0.057142857,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,4,87,13,0,0,0,0,11,3,14,0,14,1,0,0,0,36,1,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\event\SipSubscribe.java,com.genersoft.iot.vmp.gb28181.event.SipSubscribe$EventResultType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,class,20,21,1,20,10,2,0,29,6,0.84375,0.0,0.0,4,0,3,1,0,0,3,0,0,0,8,0,0,8,0,0,1,0,0,62,1,0,0,2,0,8,6,10,0,16,2,0,0,0,61,1,2
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\media\zlm\dto\hook\OnServerKeepaliveHookParam.java,com.genersoft.iot.vmp.media.zlm.dto.hook.OnServerKeepaliveHookParam,class,2,3,1,2,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\service\impl\StreamProxyServiceImpl.java,com.genersoft.iot.vmp.service.impl.StreamProxyServiceImpl,class,33,34,1,33,72,1,0,93,26,0.84191173,0.3809524,0.8666667,17,0,15,2,0,0,15,0,0,0,16,1,0,14,0,2,1,0,2,299,20,5,26,2,0,46,19,54,5,60,7,0,0,1,123,1,7
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\DeviceInfoQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.DeviceInfoQueryMessageHandler,class,18,19,1,18,7,2,0,17,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,1,0,1,39,2,0,1,2,0,8,0,7,1,9,2,0,0,0,50,1,4
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\service\impl\GbStreamServiceImpl.java,com.genersoft.iot.vmp.service.impl.GbStreamServiceImpl,class,21,22,1,21,43,1,0,65,7,0.73737377,0.43636364,1.0,11,0,11,0,0,0,11,0,0,0,9,1,0,7,0,2,1,0,0,201,10,5,13,2,1,13,13,31,1,33,5,0,0,0,73,1,4
