file,class,method,variable,usage
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isInteger/1[java.lang.String],str,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isInteger/1[java.lang.String],e,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isInteger/1[java.lang.String],num2,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isDouble/1[java.lang.String],str,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isDouble/1[java.lang.String],e,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\utils\NumericUtil.java,com.genersoft.iot.vmp.gb28181.utils.NumericUtil,isDouble/1[java.lang.String],num2,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",request,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",path,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",selectedConverterType,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",response,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",errorCode,2
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",body,8
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",selectedContentType,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",returnType,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"beforeBodyWrite/6[java.lang.Object,com.genersoft.iot.vmp.conf.MethodParameter,com.genersoft.iot.vmp.conf.MediaType,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>,com.genersoft.iot.vmp.conf.ServerHttpRequest,com.genersoft.iot.vmp.conf.ServerHttpResponse]",excludePath,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"supports/2[com.genersoft.iot.vmp.conf.MethodParameter,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>]",converterType,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\GlobalResponseAdvice.java,com.genersoft.iot.vmp.conf.GlobalResponseAdvice,"supports/2[com.genersoft.iot.vmp.conf.MethodParameter,java.lang.Class<? extends com.genersoft.iot.vmp.conf.HttpMessageConverter<?>>]",returnType,0
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,memInfo,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,networkInterfaces,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,e,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,diskInfo,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\conf\SystemInfoTimerTask.java,com.genersoft.iot.vmp.conf.SystemInfoTimerTask,execute/0,cpuInfo,1
C:\wvp-GB28181-pro-wvp-28181-2.0\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,setSecrecy/1[int],secrecy,2
