file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,class,3,23,20,3,10,1,19,1,45,1.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,1,1,0,0,0,0,0,0,32,8,0,0,0,0,6,0,1,0,1,0,0,0,0,34,1025,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SpiderOKClient.java,com.github.catvod.utils.SpiderOKClient,class,2,2,0,2,6,1,0,11,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,16,5,0,2,0,0,4,5,3,0,2,1,0,0,0,20,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\OKCallBack.java,com.github.catvod.utils.okhttp.OKCallBack$OKCallBackString,innerclass,3,3,0,3,3,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,1,0,2,0,0,0,0,1,0,0,0,15,1033,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,class,10,11,1,10,55,2,0,57,3,0.75000006,0.42857143,0.71428573,7,0,6,0,1,0,7,0,0,0,8,3,0,8,0,0,3,0,25,367,11,13,4,7,4,173,47,165,23,132,6,1,0,0,173,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\parser\JsonSequence.java,com.github.catvod.parser.JsonSequence,class,5,5,0,5,6,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,30,2,1,1,2,0,3,1,6,2,6,5,0,0,0,24,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPathEgg.java,com.github.catvod.spider.XPathEgg$Anonymous2,anonymous,1,1,0,1,3,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPathEgg.java,com.github.catvod.spider.XPathEgg$Anonymous1,anonymous,2,2,0,2,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,4,0,1,0,1,1,0,0,0,13,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\OkHttpUtil.java,com.github.catvod.utils.okhttp.OkHttpUtil$Anonymous1,anonymous,4,4,0,4,5,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,1,1,0,2,0,0,0,0,2,0,0,0,16,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Proxy.java,com.github.catvod.spider.Proxy,class,3,3,0,3,5,2,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,3,0,0,1,0,8,0,5,0,4,3,0,0,0,11,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPathMacFilter.java,com.github.catvod.spider.XPathMacFilter,class,2,2,0,2,7,4,0,14,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,21,1,2,1,0,0,13,4,9,2,6,3,0,0,0,18,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\demo\MainActivity.java,com.github.catvod.demo.MainActivity,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysdq.java,com.github.catvod.spider.Ysdq,class,7,8,1,7,41,2,0,36,17,0.71428573,0.0,0.0,7,0,4,2,1,0,5,0,0,0,2,1,0,2,0,0,0,0,13,249,13,8,3,8,0,166,15,65,2,63,5,0,0,0,66,1,0
