file,class,method,variable,usage
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SpiderOKClient.java,com.github.catvod.utils.SpiderOKClient,noRedirectClient/0,noRedirectClient,4
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",siteUrl,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",regexPage,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",regexVid,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,"searchContent/2[java.lang.String,boolean]",siteUrl,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,detailContent/1[java.util.List<java.lang.String>],playerConfig,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,detailContent/1[java.util.List<java.lang.String>],siteUrl,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,detailContent/1[java.util.List<java.lang.String>],regexPlay,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,homeContent/1[boolean],siteUrl,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,homeContent/1[boolean],regexCategory,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,homeContent/1[boolean],regexVid,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,init/1[com.github.catvod.spider.Context],playerConfig,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,getHeaders/1[java.lang.String],siteHost,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,getHeaders/1[java.lang.String],ua,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys,"playerContent/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",playerConfig,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysdq.java,com.github.catvod.spider.Ysdq,getJson/0,sites,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysdq.java,com.github.catvod.spider.Ysdq,getJson/0,sourceName,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysdq.java,com.github.catvod.spider.Ysdq,fetchRule/0,sites,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysdq.java,com.github.catvod.spider.Ysdq,"init/2[com.github.catvod.spider.Context,java.lang.String]",sourceName,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\parser\JsonParallel.java,com.github.catvod.parser.JsonParallel,"parse/2[java.util.LinkedHashMap<java.lang.String,java.lang.String>,java.lang.String]",ParseOKTag,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",siteUrl,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",regexPage,2
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",regexVid,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,init/1[com.github.catvod.spider.Context],playerConfig,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,init/1[com.github.catvod.spider.Context],filterConfig,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,homeContent/1[boolean],siteUrl,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,homeContent/1[boolean],regexCategory,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,homeContent/1[boolean],filterConfig,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,homeContent/1[boolean],regexVid,1
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Jumi.java,com.github.catvod.spider.Jumi,"playerContent/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",playerConfig,2
