file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,"searchContent/2[java.lang.String,boolean]",false,70,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,"init/2[com.github.catvod.crawler.Context,java.lang.String]",false,17,2,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,"categoryContent/4[java.lang.String,java.lang.String,boolean,java.util.HashMap<java.lang.String,java.lang.String>]",false,49,0,0,0,0,1,0,3,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,detailContent/1[java.util.List<java.lang.String>],false,59,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,"playerContent/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",false,81,0,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,init/1[com.github.catvod.crawler.Context],false,14,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,homeVideoContent/0,false,36,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,manualVideoCheck/0,false,100,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,homeContent/1[boolean],false,27,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\crawler\Spider.java,com.github.catvod.crawler.Spider,isVideoFormat/1[java.lang.String],false,91,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SpiderOKClient.java,com.github.catvod.utils.SpiderOKClient,noRedirectClient/0,false,12,2,1,0,1,2,8,7,1,1,0,8,0,0,0,1,0,0,0,3,2,0,1,0,0,0,14,9,0,false
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SpiderOKClient.java,com.github.catvod.utils.SpiderOKClient,"getRedirectLocation/1[java.util.Map<java.lang.String,java.util.List<java.lang.String>>]",false,27,0,0,0,0,4,3,6,4,0,1,3,0,0,0,1,0,0,4,2,0,0,1,0,0,0,5,9,0,false
